name
Maumee
Meadowlark
Memphian
Memphis-Californian
Merchants Limited
Mercury
Meteor
Metroliner
Metropolitan Special
Michigan
Michigan Central Limited
Michigan Executive
Michigan Special
Mid-City Express
Midlander
Midnight Special
Midnight Sun
Midwest Hiawatha
Minnesota 400
Minnesota Marquette
Minnesotan
Minute Man
Miss Lou
Missionary
Missouri River Eagle
Missouri River Runner
Missourian
Mohawk
Montrealer
Montreal Limited
Morning Daylight
Morning Flyer
Morning Star
Morning Steeler
Morning Hiawatha
Motor City Special
Motor Queen
Mound City
Mountaineer
Mount Rainier
Mount Royal
Murray Hill
Nancy Hanks II
Napa Valley Wine Train
Narragansett
National Limited
Naugatuk
Navajo
Nebraska Zephyr
Nellie Bly
Neptune
New England States Limited
New England States
New England Wolverine
New Royal Palm
New York & Boston Special
New York Clocker
New York Mail
New York Special
New Yorker
Niagara Falls & Eastern Express
Niagara Rainbow
Nickel Plate Limited
Nightingale
Night Diamond
Night Express
Night Owl
Noon Daylight
Noon Flyer
North Coast Hiawatha
North Coast Limited
North Shore Limited
North Star
North Woods Hiawatha
Northeast Regional
Northeastern Limited
Northern Arrow
Northern Michigan Express
Northern Michigan Special
Northerner
Northland Express
Ohio Special
Ohio State Limited
Oklahoma Rocket
Oklahoman
Old Dominion
Olympian
Olympian Hiawatha
Orange Blossom Special
Oregonian
Oriental Limited
Orleanean
Overland Flyer
Overland Limited
Owl
Ozarker
Ozark State Zephyr
Pacemaker
Pacific Express
Pacific International
Pacific Limited
Pacific Surfliner
Palmetto
Pan-American
Panama Limited
Paul Revere
Peach Queen
Pelican
Peconic Bay Express
Peninsula 400
Peninsular
Penn Texas
Pennsy Aerotrain
Pennsylvania Limited
Pennsylvanian
Peoria Rocket
Pere Marquette
Pershing Square
Piedmont
Piedmont Limited
Phoebe Snow
Pilgrim
Pine Tree Acadian
Pinellas
Pioneer
Pioneer Limited
Pioneer Zephyr
Pittsburgher
Planter
Pocahontas
Pocono Express
Ponce de Leon
Pony Express
Portland Rose
Potatoland Special
Powhatan Arrow
Prairie Marksman
Prairie State
Prospector
Puget Sound
Quaker City Express
Quad City Rocket
Queen and Crescent Limited
Queen of the Valley
Rainbow Special
Ranger
Raritan Clocker
Rebel
Red Arrow
Red Bird
Red River
Redwood
Regional
Resort Special
Rio Grande Zephyr
Rochester 400
Rochester Special
Rocky Mountain Rocket
Roger Williams
Rogue River
Royal Blue
Royal Palm
Sacramento Daylight
Safety Express
Saint
St. Clair
St. Lawrence Express
St. Louis Limited
St. Louis Special
St. Louis Mule
Salt City Express
Salt Lake Special
Sam Houston Zephyr
San Diegan
San Francisco Challenger
San Francisco Chief
San Francisco Overland
San Francisco Zephyr
San Joaquin Daylight
San Juan Express
San Joaquin
Sangamon
Santa Fe De Luxe
Scenic Limited
Scout
Scranton Flyer
Seminole
Senator
Shasta Daylight
Shavano
Shawnee
Shelter Island Express
Shenandoah
Shinnecock Bay Express
Shoppers Special
Shoreland 400
Short Line Express
Shreveporter
Silver Comet
Silver Meteor
Silver Star
Silver Streak Zephyr
Silverliner Service
Sinnissippi
Sioux
Skyland Special
Skunk
Somerset Hills Express
Soo-Dominion
South Shore Express
South Wind
Southern Belle
Southern Crescent
Southern Michigan Express
Southern Scenic
Southerner
Southland
Southwest Chief
Southwest Limited
Southwestern Limited
Speed Merchant
Spirit of California
Spirit of St. Louis
Sportsman
Star
Starlight
State House
State of Maine Express
Statesman
Steeler
Streamliner
Sundown
Sunflower
Sun Tan Special
Sunbeam
Sunland
Sunnyland
Sunrise Special
Sunset Limited
Sunshine Special
Super Chief
Suwannee River Special
Tennessean
Texan
Texas Chief
Texas Eagle
Texas Rocket
Texas Special
Texas Zephyr
Tex-Mex Express
Thoroughbred
Three Rivers
Timberliner
Tippecanoe
Toledo - Detroit Express
Tom Taber Express
Tomahawk
Torpedo
Tourist Flyer
Trail Blazer
Treasure Island Special
Tulsan
Turboliner
Turbo
Twentieth Century Limited
Twilight
Twilight Limited
Twin Cities 400
Twin Cities Hiawatha
Twin Star Rocket
Valley 400
Valley Eagle
Valley Express
Valley Flyer
Valley Forge
Valpo Local
Vermonter
Viking
Wabash Cannon Ball
Wall Street
Washington-Detroit Limited
Washington Irving
Washingtonian
Water Level Express
Water Level Limited
West Virginian
Western Express
Western Star
Westerner
Whippoorwill
Will Rodgers
Willamette Valley
Winnipeg Express
Winnipeg Limited
Winnipeger
Wolverine
Xplorer
Yankee Clipper
Zephyr Rocket
Zephyrette
Zipper
